일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10)
2021-03-01,7.8,1.5999999999999999,12.566666666666668,52.199999999999996,1.5999999999999999,92.06666666666666,0.0,1.97,10.0
2021-03-02,2.5,-0.26666666666666666,5.866666666666667,0.8666666666666667,1.4666666666666668,78.96666666666667,1.8,7.055,6.2
2021-03-03,3.633333333333333,-2.2666666666666666,9.666666666666666,,0.7999999999999999,66.93333333333334,7.7,15.094999999999999,5.1000000000000005
2021-03-04,5.1000000000000005,0.43333333333333335,10.133333333333333,2.3000000000000003,0.5666666666666667,79.60000000000001,0.19999999999999998,6.09,8.0
2021-03-05,8.166666666666666,1.8999999999999997,16.7,,1.0666666666666667,75.3,7.8999999999999995,17.130000000000003,4.1000000000000005
2021-03-06,6.7,3.033333333333333,13.066666666666668,,2.1,73.06666666666666,4.8,11.555,6.433333333333334
2021-03-07,6.0,3.0,10.266666666666666,,1.6666666666666667,70.53333333333333,2.6333333333333333,9.85,7.366666666666667
2021-03-08,7.033333333333334,0.8000000000000002,14.5,,0.9,65.13333333333333,9.799999999999999,18.735,2.5666666666666664
2021-03-09,6.733333333333333,1.5,13.266666666666666,,1.0333333333333334,58.29999999999999,6.6000000000000005,14.015,6.333333333333333
2021-03-10,8.4,-0.3333333333333333,17.366666666666667,,1.0999999999999999,54.43333333333334,10.333333333333334,19.4,0.0
2021-03-11,10.133333333333333,1.6666666666666667,18.633333333333336,,0.9,51.76666666666667,8.033333333333333,17.655,5.833333333333333
2021-03-12,8.166666666666666,6.7,10.266666666666667,9.266666666666666,1.2666666666666666,84.73333333333333,0.0,3.61,7.8999999999999995
2021-03-13,8.433333333333334,3.266666666666666,15.1,,1.0,72.83333333333333,6.633333333333333,16.105,4.8999999999999995
2021-03-14,8.799999999999999,3.3000000000000003,14.533333333333333,,0.9666666666666668,70.83333333333333,6.633333333333333,14.835,4.733333333333333
2021-03-15,11.1,2.9000000000000004,17.766666666666666,0.05,1.1666666666666667,62.833333333333336,8.133333333333333,16.445,6.733333333333333
2021-03-16,10.200000000000001,3.7999999999999994,15.666666666666666,0.06666666666666667,2.033333333333333,52.666666666666664,10.200000000000001,21.17,2.6
2021-03-17,9.0,0.3333333333333335,18.599999999999998,,0.9666666666666668,51.4,10.533333333333333,20.665,0.6000000000000001
2021-03-18,11.700000000000001,3.233333333333333,19.3,0.0,1.2666666666666666,56.56666666666666,9.9,19.4,3.3000000000000003
2021-03-19,13.033333333333333,9.4,17.933333333333334,0.0,2.8666666666666667,53.76666666666667,7.733333333333333,16.950000000000003,7.566666666666666
2021-03-20,8.666666666666666,7.066666666666666,11.233333333333334,6.066666666666666,1.4000000000000001,84.26666666666667,0.03333333333333333,2.785,9.1
2021-03-21,6.033333333333334,4.066666666666666,10.1,0.0,2.6666666666666665,66.03333333333333,5.266666666666667,11.655000000000001,7.066666666666666
2021-03-22,6.466666666666666,0.7333333333333334,12.299999999999999,,2.1999999999999997,49.4,10.1,20.015,1.5
2021-03-23,8.833333333333334,1.0333333333333334,17.2,,1.7666666666666666,59.0,10.533333333333333,20.92,0.3
2021-03-24,10.066666666666668,2.3333333333333335,18.2,,1.1666666666666667,50.9,9.1,19.58,3.966666666666667
2021-03-25,12.299999999999999,4.033333333333333,21.066666666666666,,1.0666666666666667,56.666666666666664,10.933333333333332,21.69,0.9
2021-03-26,13.466666666666667,3.966666666666667,22.333333333333332,,0.8666666666666667,48.76666666666667,9.4,17.415,4.233333333333333
2021-03-27,12.133333333333333,7.266666666666667,15.9,15.333333333333334,1.5333333333333332,73.3,0.06666666666666667,5.1,9.666666666666666
2021-03-28,10.166666666666666,8.333333333333334,14.5,2.1333333333333333,1.9333333333333336,90.10000000000001,0.03333333333333333,3.15,9.466666666666667
2021-03-29,11.933333333333332,7.6000000000000005,17.266666666666666,0.0,2.0,54.0,8.133333333333335,18.515,4.566666666666666
