lead_time,model_name,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
T+1,XGBoost,0.09,0.9908675799086758,0.9764309764309764,0.9897610921501706,0.9830508474576272,0.9997787102210344,0.9994306880823147,0.9905164562995242,795,7,3,290
T+1,XGBoost,0.1,0.9908675799086758,0.9764309764309764,0.9897610921501706,0.9830508474576272,0.9997787102210344,0.9994306880823147,0.9905164562995242,795,7,3,290
T+1,XGBoost,0.11,0.9917808219178083,0.9797297297297297,0.9897610921501706,0.9847198641765704,0.9997787102210344,0.9994306880823147,0.991139897696033,796,6,3,290
T+1,XGBoost,0.12,0.9917808219178083,0.9797297297297297,0.9897610921501706,0.9847198641765704,0.9997787102210344,0.9994306880823147,0.991139897696033,796,6,3,290
T+1,XGBoost,0.13,0.9917808219178083,0.9797297297297297,0.9897610921501706,0.9847198641765704,0.9997787102210344,0.9994306880823147,0.991139897696033,796,6,3,290
T+1,XGBoost,0.14,0.9926940639269406,0.9830508474576272,0.9897610921501706,0.9863945578231292,0.9997787102210344,0.9994306880823147,0.9917633390925417,797,5,3,290
T+1,XGBoost,0.15,0.993607305936073,0.9863945578231292,0.9897610921501706,0.9880749574105622,0.9997787102210344,0.9994306880823147,0.9923867804890504,798,4,3,290
T+1,XGBoost,0.16,0.993607305936073,0.9863945578231292,0.9897610921501706,0.9880749574105622,0.9997787102210344,0.9994306880823147,0.9923867804890504,798,4,3,290
T+1,XGBoost,0.17,0.993607305936073,0.9863945578231292,0.9897610921501706,0.9880749574105622,0.9997787102210344,0.9994306880823147,0.9923867804890504,798,4,3,290
T+1,XGBoost,0.18,0.993607305936073,0.9863945578231292,0.9897610921501706,0.9880749574105622,0.9997787102210344,0.9994306880823147,0.9923867804890504,798,4,3,290
T+1,XGBoost,0.19,0.993607305936073,0.9863945578231292,0.9897610921501706,0.9880749574105622,0.9997787102210344,0.9994306880823147,0.9923867804890504,798,4,3,290
T+1,XGBoost,0.2,0.993607305936073,0.9863945578231292,0.9897610921501706,0.9880749574105622,0.9997787102210344,0.9994306880823147,0.9923867804890504,798,4,3,290
T+1,XGBoost,0.21,0.993607305936073,0.9863945578231292,0.9897610921501706,0.9880749574105622,0.9997787102210344,0.9994306880823147,0.9923867804890504,798,4,3,290
T+1,XGBoost,0.22,0.993607305936073,0.9863945578231292,0.9897610921501706,0.9880749574105622,0.9997787102210344,0.9994306880823147,0.9923867804890504,798,4,3,290
T+1,XGBoost,0.23,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.9997787102210344,0.9994306880823147,0.9930102218855591,799,3,3,290
