lead_time,best_model,rank,feature,mean_abs_shap,direction_summary,operational_meaning
T+7,XGBoost,30,chla_lag7,0.09141886979341507,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,1,log_cyano,2.306797504425049,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,2,month_sin,0.8563725352287292,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,3,doy_sin,0.6040123701095581,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,4,doy_cos,0.4614250659942627,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,5,탁도,0.36780479550361633,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,6,log_cyano_lag1,0.32239821553230286,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,7,최저기온(°C),0.2964760661125183,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,8,취수량2,0.2881900370121002,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,9,log_cyano_roll7_max,0.23824676871299744,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,10,채수위치_추동,0.17586062848567963,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,11,Chl-a (㎎/㎥),0.1744479387998581,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,12,hoenam_log_cyano_lag7,0.1679268181324005,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,13,수온(℃),0.16717888414859772,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,14,연도,0.16521236300468445,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,15,dayofyear,0.1596304178237915,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,16,chla_roll14,0.15934228897094727,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,17,hoenam_log_cyano_lag10,0.1486678272485733,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,18,log_cyano_lag30,0.14846433699131012,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,19,water_temp_lag7,0.13929615914821625,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,20,전년저수위,0.13008132576942444,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,21,log_cyano_roll7,0.12711404263973236,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,22,총방류량(㎥/s),0.11960519850254059,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,23,DO(㎎/L),0.11248607188463211,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,24,rain_sum_14d,0.09846734255552292,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,25,평균기온(°C),0.09262112528085709,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,26,chla_roll7,0.08954783529043198,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,27,log_cyano_lag14,0.08677773922681808,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,28,flow_balance_7d,0.08606071770191193,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,29,log_cyano_lag3,0.08234158903360367,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,XGBoost,30,수위(EL.m),0.07833225280046463,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
